name,genre,rating_val,nearest_station,address
Nihonbashi Kakigaracho Suita,sushi,4.71,Suitengumae Station,東京都中央区日本橋蛎殻町1-33-6 ビューハイツ日本橋 B1F
Shinbashi Hoshino,Japanese food,4.63,Onarimon Station,東京都港区新橋5-31-3
Matsukawa,Japanese food,4.63,Roppongi Itchome Station,東京都港区赤坂1-11-6 赤坂テラスハウス １階
Higashiazabu Amamoto,sushi,4.61,Akabanebashi Station,東京都港区東麻布1-7-9 ザ・ソノビル 102
red,"Spanish cuisine, modern Spanish",4.61,Mitsukoshimae Station,東京都中央区日本橋室町2-1-1 三井2号館
Sushi Saito,sushi,4.59,Roppongi Itchome Station,東京都港区六本木1-4-5 アークヒルズサウスタワー 1Ｆ
Pellegrino,italian,4.58,Hiroo Station,東京都渋谷区恵比寿2-3-4
Ginza Shinohara,Japanese food,4.58,Ginza-itchome Station,東京都中央区銀座2-8-17 ハビウル銀座2 B1
Chiun,"Innovative fusion, creative cuisine",4.57,Hiroo station,東京都港区西麻布4-9-11
SUGALABO,"Innovative fusion, creative cuisine",4.56,Kamiyacho Station,東京都港区麻布台1-11-10 日総ビル1F
Sushi Namba Hibiya,sushi,4.55,Hibiya Station,東京都千代田区有楽町1-1-2 東京ミッドタウン日比谷 3F
Mitani,sushi,4.54,Yotsuya Station,東京都新宿区四谷1-22-1
Quintessence,"modern french, french",4.53,Kitashinagawa Station,東京都品川区北品川6-7-29 ガーデンシティ品川 御殿山 1F
tea zenhua,Chinese cuisine,4.53,Hiroo Station,東京都港区南麻布4-7-5
L&#39;Effervéssons,"French, modern French",4.52,Omotesando Station,東京都港区西麻布2-26-4
Takiya,Tempura,4.52,Azabujuban Station,東京都港区麻布十番2-8-6 ラベイユ麻布十番 2F
Cang,"innovative fusion, french",4.5,Roppongi Station,東京都港区西麻布3-21-3 オリンピアード麻布霞坂 2F
Naomitsu Sushi,sushi,4.49,Nakameguro Station,東京都目黒区青葉台1-28-2 EXA 1F
Torishiki,Yakitori,4.49,Meguro Station,東京都品川区上大崎2-14-12
Minoru Hasegawa,"Innovative fusion, modern French, Italian",4.48,Hiroo station,東京都港区南麻布4-5-66
