name,genre,rating_val,nearest_station,address
nihonbashi kakigaracho suita,sushi,4.71,suitengumae station,東京都中央区日本橋蛎殻町1-33-6 ビューハイツ日本橋 B1F
shinbashi hoshino,japanese food,4.63,onarimon station,東京都港区新橋5-31-3
matsukawa,japanese food,4.63,roppongi itchome station,東京都港区赤坂1-11-6 赤坂テラスハウス １階
higashiazabu amamoto,sushi,4.61,akabanebashi station,東京都港区東麻布1-7-9 ザ・ソノビル 102
red,"spanish cuisine, modern spanish",4.61,mitsukoshimae station,東京都中央区日本橋室町2-1-1 三井2号館
sushi saito,sushi,4.59,roppongi itchome station,東京都港区六本木1-4-5 アークヒルズサウスタワー 1Ｆ
pellegrino,italian,4.58,hiroo station,東京都渋谷区恵比寿2-3-4
ginza shinohara,japanese food,4.58,ginza-itchome station,東京都中央区銀座2-8-17 ハビウル銀座2 B1
chiun,"innovative fusion, creative cuisine",4.57,hiroo station,東京都港区西麻布4-9-11
sugalabo,"innovative fusion, creative cuisine",4.56,kamiyacho station,東京都港区麻布台1-11-10 日総ビル1F
sushi namba hibiya,sushi,4.55,hibiya station,東京都千代田区有楽町1-1-2 東京ミッドタウン日比谷 3F
mitani,sushi,4.54,yotsuya station,東京都新宿区四谷1-22-1
quintessence,"modern french, french",4.53,kitashinagawa station,東京都品川区北品川6-7-29 ガーデンシティ品川 御殿山 1F
tea zenhua,chinese cuisine,4.53,hiroo station,東京都港区南麻布4-7-5
takiya,tempura,4.52,azabujuban station,東京都港区麻布十番2-8-6 ラベイユ麻布十番 2F
cang,"innovative fusion, french",4.5,roppongi station,東京都港区西麻布3-21-3 オリンピアード麻布霞坂 2F
naomitsu sushi,sushi,4.49,nakameguro station,東京都目黒区青葉台1-28-2 EXA 1F
torishiki,yakitori,4.49,meguro station,東京都品川区上大崎2-14-12
minoru hasegawa,"innovative fusion, modern french, italian",4.48,hiroo station,東京都港区南麻布4-5-66
kimoto,japanese food,4.47,kagurazaka station,東京都新宿区東五軒町5-5
tacubo,italian,4.46,daikanyama station,東京都渋谷区恵比寿西2-13-16 ラングス代官山 1F
akasaka raimon,"yakiniku, horumon",4.44,akasakamitsuke station,東京都港区赤坂3-9-12 メトロビル 4F
