,month,public_admissions,total_rainfall,datetime_x,year_x,no_of_rainy_days,datetime_y,year_y,north,south,east,west,central
0,2014-01,32050,75.4,2014-01-01,2014,5,2014-01-01,2014,55.45116279069767,53.11162790697674,51.63720930232558,56.8046511627907,53.86976744186047
1,2014-02,28424,0.2,2014-02-01,2014,1,2014-02-01,2014,58.30555555555556,55.68055555555556,55.592592592592595,59.26851851851852,56.879629629629626
2,2014-03,31853,66.0,2014-03-01,2014,6,2014-03-01,2014,63.467592592592595,62.49074074074074,60.041666666666664,65.57870370370371,61.30555555555556
3,2014-04,31819,110.0,2014-04-01,2014,17,2014-04-01,2014,63.08796296296296,59.63117283950617,60.22067901234568,61.885802469135804,60.94135802469136
4,2014-05,32531,125.8,2014-05-01,2014,18,2014-05-01,2014,56.236607142857146,51.708333333333336,51.205357142857146,54.28720238095238,53.367559523809526
5,2014-06,31917,71.4,2014-06-01,2014,11,2014-06-01,2014,52.93055555555556,52.132716049382715,51.339506172839506,54.638888888888886,52.13734567901235
6,2014-07,33105,148.6,2014-07-01,2014,15,2014-07-01,2014,55.19047619047619,53.53422619047619,53.38988095238095,55.98065476190476,52.776785714285715
7,2014-08,32557,241.0,2014-08-01,2014,20,2014-08-01,2014,55.41220238095238,53.279761904761905,52.098214285714285,56.069940476190474,53.08482142857143
8,2014-09,32037,83.6,2014-09-01,2014,9,2014-09-01,2014,64.87345679012346,64.31172839506173,63.660493827160494,68.14814814814815,63.0679012345679
9,2014-10,32420,120.0,2014-10-01,2014,10,2014-10-01,2014,63.822916666666664,64.08184523809524,63.572916666666664,69.18154761904762,61.944940476190474
10,2014-11,31294,250.8,2014-11-01,2014,23,2014-11-01,2014,49.77469135802469,48.19753086419753,50.236111111111114,48.266975308641975,46.486111111111114
11,2014-12,31704,245.6,2014-12-01,2014,17,2014-12-01,2014,43.995535714285715,44.34077380952381,46.788690476190474,43.73511904761905,41.11011904761905
12,2015-01,32651,79.6,2015-01-01,2015,6,2015-01-01,2015,54.854838709677416,56.708333333333336,59.43682795698925,58.12903225806452,51.77150537634409
13,2015-02,28071,18.8,2015-02-01,2015,6,2015-02-01,2015,53.19642857142857,55.236607142857146,59.205357142857146,57.052083333333336,52.19642857142857
14,2015-03,32696,84.4,2015-03-01,2015,5,2015-03-01,2015,58.840053763440864,58.873655913978496,59.401881720430104,61.784946236559136,55.331989247311824
15,2015-04,32479,73.2,2015-04-01,2015,13,2015-04-01,2015,57.356944444444444,56.40694444444444,56.80694444444445,57.704166666666666,54.170833333333334
16,2015-05,33074,89.0,2015-05-01,2015,12,2015-05-01,2015,55.93413978494624,52.08736559139785,52.625,57.35618279569893,50.13306451612903
17,2015-06,31790,95.8,2015-06-01,2015,10,2015-06-01,2015,58.575,57.62361111111111,57.72083333333333,61.225,53.75
