,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subject: Building, Real Estate, Construction and Housing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: HDB Residential Units and Properties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Residential Units Constructed And Sold By Housing And Development Board, Annual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 05/04/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: HOUSING AND DEVELOPMENT BOARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Series,2022 ,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 ,1999 ,1998 ,1997 ,1996 ,1995 ,1994 ,1993 ,1992 ,1991 ,1990 ,1989 ,1988 ,1987 ,1986 ,1985 ,1984 ,1983 ,1982 ,1981 ,1980 ,1979 ,1978 ,1977 ,1976 ,1975 ,1974 
Flats Constructed (Number),20064,13756,7314,12114,17556,35210,26025,23178,27120,14004,10733,17725,10453,5208,3154,5063,2733,5663,5654,10082,10141,23913,27678,34836,36609,31312,27484,26185,25987,17891,18482,10452,13739,11793,27071,29008,38907,46370,67017,40062,19532,15381,18421,26709,29742,30498,na,na,na
Percentage Of Population Living In Public Flats (End Of Period) (Per Cent),77,80,80,81,81,82,82,82,82,82,83,82,82,82,82,81,82,83,84,84,85,85,86,86,86,86,86,86,86,87,87,87,87,88,87,86,85,84,81,77,75,74,73,71,68,64,60,54,49
"Flats Sold Under 'Home Ownership Scheme' (Number)",17098,14885,9406,13580,22106,27708,21851,23445,25183,12594,13098,15008,6697,4419,8537,9071,6940,10101,10055,15388,19629,19987,26329,29893,36966,28220,26532,27776,23770,19594,19188,15002,13692,17986,40688,25635,30575,34856,81823,34013,21403,11129,23234,23584,25600,36536,na,na,na
Percentage Of Home-Ownership Flats (Per Cent),94,94,94,94,94,94,95,95,95,93,94,94,95,95,95,95,95,94,94,94,94,93,93,92,91,91,91,90,90,89,89,88,87,87,82,80,78,76,74,70,66,63,64,61,68,62,63,52,47
Percentage Of Population Living In Home-Ownership Flats (Per Cent),74,77,77,78,79,79,79,79,79,80,80,79,79,80,80,79,80,81,82,82,83,82,82,82,82,81,81,81,80,81,82,82,80,79,71,69,66,64,60,54,50,43,42,39,37,31,27,22,18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flats Constructed (Number):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data are based on calendar year.  Prior to 1982, include units sold by JTC, but exclude those by HUDC.  Include middle housing units completed by URA in 1985 and 1986.  In 1992, exclude 96 units due to reclassification.  Excludes flats built under the Design, Build and Sell Scheme (DBSS).  Data for CY2020 were significantly lower as compared to CY2019 due to the suspension of construction activities during the COVID-19 pandemic Circuit Breaker as well as material supply disruption, manpower shortage and introduction of safe management measures post-Circuit Breaker.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage Of Population Living In Public Flats (End Of Period) (Per Cent):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from 1990 refers to resident population which comprises Singapore citizens and permanent residents.  Data as at 31 March of each calendar year.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Flats Sold Under 'Home Ownership Scheme' (Number):",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Flats are considered 'sold' only when keys are issued to the applicants.  Prior to 1982, data includes JTC units but exclude HUDC units.  From 1989, data includes HUDC units.  Data excludes Studio Apartments.  In 1994, data excludes 243 repurchased flats.  From 2010, data include Studio Apartments and keys issued by private developers for Design, Build and Sell Scheme flats.  The COVID-19 pandemic has affected the progress of Build-To-Order completion programme in CY2020, resulting in fewer new flats completed and sold in CY2020 as compared to CY2019.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage Of Home-Ownership Flats (Per Cent):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refers to percentage of sold flats over total units under management.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage Of Population Living In Home-Ownership Flats (Per Cent):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from 1990 refers to resident population which comprises Singapore citizens and permanent residents.  Data as at 31 March of each calendar year.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date generated: 15/08/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
