end,dengue haemorrhagic fever,chikungunya fever,zika virus infection,dengue_fever_gt,insect_repellent_gt,weekly mean rainfall (mm),highest 30 min rainfall(mm),highest 60 min rainfall (mm),highest 120 min rainfall (mm),mean temperature,maximum temperature,minimum temperature
2012-01-21,0.125,0.02040816326530612,0.0,0.0,0.0,7.428571428571429,26.2,26.2,26.2,25.914285714285715,30.9,23.8
2012-01-28,0.25,0.0,0.0,0.0,0.0,3.4857142857142853,26.2,26.2,26.2,26.97142857142857,32.5,22.1
2012-02-04,0.125,0.0,0.0,0.0,0.79,1.3714285714285714,26.2,26.2,26.2,26.557142857142857,31.6,23.5
2012-02-11,0.0,0.0,0.0,0.33,0.0,8.32857142857143,26.2,26.2,26.2,26.414285714285715,31.6,21.5
2012-02-18,0.0,0.0,0.0,0.0,0.0,0.0,38.4,38.4,38.4,27.414285714285715,32.3,24.4
2012-02-25,0.125,0.02040816326530612,0.0,0.0,0.0,5.685714285714285,38.4,38.4,38.4,26.957142857142856,31.9,23.0
2012-03-03,0.0,0.02040816326530612,0.0,0.0,0.0,0.3714285714285714,38.4,38.4,38.4,27.428571428571427,32.6,22.7
2012-03-10,0.125,0.04081632653061224,0.0,0.0,0.0,3.8285714285714287,38.4,38.4,38.4,27.142857142857142,33.2,23.8
2012-03-17,0.0,0.0,0.0,0.0,0.72,6.057142857142857,92.3,92.3,92.3,27.11428571428572,32.4,21.1
2012-03-24,0.125,0.0,0.0,0.0,0.43,16.02857142857143,92.3,92.3,92.3,26.61428571428572,32.1,22.7
2012-03-31,0.0,0.0,0.0,0.0,0.0,4.314285714285715,92.3,92.3,92.3,27.428571428571427,32.4,23.6
2012-04-07,0.0,0.0,0.0,0.0,0.75,14.628571428571428,92.3,92.3,92.3,27.057142857142857,32.8,22.9
2012-04-14,0.125,0.02040816326530612,0.0,0.0,0.0,7.971428571428571,48.4,48.4,48.4,27.342857142857145,32.3,21.9
2012-04-21,0.0,0.02040816326530612,0.0,0.0,0.0,15.142857142857142,48.4,48.4,48.4,27.285714285714285,31.9,23.3
