date,total_public_private_pay,residential_public_private_pay,commercial_public_private_pay,industrial_public_private_pay,institutional_others_public_private_pay,civil_engineering_public_private_pay,total_public_pay,residential_public_pay,commercial_public_pay,industrial_public_pay,institutional_others_public_pay,civil_engineering_public_pay,total_private_pay,residential_private_pay,commercial_private_pay,industrial_private_pay,institutional_others_private_pay,civil_engineering_private_pay,total_public_private_con,residential_public_private_con,commercial_public_private_con,industrial_public_private_con,institutional_others_public_private_con,civil_engineering_public_private_con,total_public_con,residential_public_con,commercial_public_con,industrial_public_con,institutional_others_public_con,civil_engineering_public_con,total_private_con,residential_private_con,commercial_private_con,industrial_private_con,institutional_others_private_con,civil_engineering_private_con,Total,  Manufacturing,  Construction,  Wholesale Trade,  Retail Trade,  Transportation & Storage,  Accommodation,  Food & Beverage Services,  Information & Communications,  Finance & Insurance,  Real Estate,  Professional Services,  Administrative & Support Services,"  Education, Health & Social Services","  Arts, Entertainment, Recreation & Other Services",  Others
2023-06-01,2735,785,220,590,450,690,1385,355,10,80,330,610,1350,430,210,510,120,80,1494.1,382.2,124.4,621.2,210.7,155.7,397.6,21,0.3,33.3,189.1,154,1096.5,361.2,124.1,587.9,21.6,1.7,5688,199,289,897,472,206,11,303,822,600,67,995,234,271,297,25
2023-05-01,2660,790,232,545,378,715,1342,360,12,87,258,625,1318,430,220,458,120,90,2222.5,1143.3,20.4,394.7,621,43,1497.3,847,0.2,10.3,605.4,34.4,725.2,296.3,20.3,384.4,15.7,8.6,6570,247,317,1034,534,259,11,370,887,751,59,1109,265,322,377,28
2023-04-01,2515,790,225,545,385,570,1195,365,15,55,260,500,1320,425,210,490,125,70,1692.5,432.5,322.9,555.6,190.3,191.1,528.6,13.8,1.4,150.4,171.9,191.1,1163.9,418.7,321.5,405.2,18.4,0,5692,210,260,884,458,229,9,317,751,569,78,993,245,337,322,30
2023-03-01,2743.7,795.3,220.9,643.5,582.6,501.4,1366.1,375,18.7,85.3,462.8,424.2,1377.7,420.3,202.2,558.2,119.8,77.2,3057.3,1596.7,207,137.6,409.8,706.2,1843.9,757.1,0,6.5,383.4,696.9,1213.4,839.7,207,131.1,26.4,9.3,6722,252,336,1051,585,244,10,342,896,770,90,1130,247,338,393,38
2023-02-01,2808.8,725.8,192.9,725.5,457.6,707.1,1394.2,322.8,9.5,94.3,339.3,628.3,1414.6,403,183.4,631.3,118.3,78.7,3425.5,1407.8,799.7,80.6,687.6,449.8,1617.5,521.8,20.1,0,644,431.7,1808,886.1,779.6,80.6,43.6,18.1,5672,204,319,831,460,230,3,303,761,604,86,997,229,276,345,24
2023-01-01,2657.2,740.7,209.4,630.8,445.5,630.9,1267.2,348.6,9.7,47.6,298.6,562.7,1389.9,392,199.7,583.2,146.9,68.2,2618.8,1039.2,293.2,93,121.3,1072.2,1865.3,729.2,0.8,63.7,70,1001.6,753.5,310,292.4,29.3,51.2,70.7,5036,183,248,708,461,201,11,221,690,546,50,900,211,280,293,33
2022-12-01,2774.7,842.6,231.5,589.4,472.5,638.8,1365.5,355.4,21.1,84.1,347.3,557.7,1409.2,487.3,210.5,505.2,125.2,81.1,2863,483.2,258.6,331.6,222.5,1567.2,1962.3,192.6,5.7,26.4,196.2,1541.4,900.8,290.6,252.9,305.2,26.3,25.8,5135,197,247,804,422,172,3,214,693,678,56,879,196,257,293,24
2022-11-01,2759.4,783.6,209.7,640.9,415.8,709.5,1357.1,344.4,11.3,67.7,294.5,639.1,1402.3,439.2,198.4,573.2,121.3,70.3,2821.4,1753.4,58.4,98.9,757.5,153.2,1584.1,1243.5,9.2,0,179.3,152.2,1237.3,509.9,49.2,98.9,578.3,1,5661,232,266,901,410,216,6,233,777,703,60,983,212,296,330,36
2022-10-01,2678.7,812.6,179.4,691.5,374,621.2,1283.7,369.8,11.8,104.6,250.1,547.3,1395,442.8,167.6,586.8,123.9,73.9,1534.3,525.5,40,268,291.2,409.7,692.2,141.3,2.7,0,200.6,347.6,842.2,384.2,37.3,268,90.6,62.1,5113,192,251,829,405,218,3,289,691,593,75,780,199,238,322,28
2022-09-01,2619.6,784.2,183,551.6,410.4,690.4,1362.6,379.6,11.3,63.3,297.3,611.2,1257,404.7,171.7,488.3,113.1,79.2,2107.7,203,106,202.1,103.8,1492.7,1466.9,42.1,12.2,71.2,97.3,1244.1,640.8,160.9,93.9,131,6.5,248.6,5669,192,290,855,455,226,8,322,743,723,80,909,228,282,330,26
