Category: All categories
"Dengue fever: (1/1/04 - 8/14/23, Singapore)"

TOP
Fever,100
Symptom,75
Medical sign,63
Dengue virus,43
Mosquito,36
National Environment Agency,22
Yellow fever mosquito,19
Skin rash,14
Virus,12
Centre,11
Platelet,9
Infection,8
Animal bite,7
Aedes,6
Dengue vaccine,6
Cure,6
Malaria,6
Papaya,6
2005 dengue outbreak in Singapore,5
Zika virus,5
Thrombocytopenia,5
Signs and symptoms,4
Zika fever,4
Preventive healthcare,4
Contagious disease,3

RISING
National Environment Agency,Breakout
Yellow fever mosquito,Breakout
Centre,Breakout
Platelet,Breakout
Infection,Breakout
Animal bite,Breakout
Cure,Breakout
Malaria,Breakout
Papaya,Breakout
2005 dengue outbreak in Singapore,Breakout
Zika virus,Breakout
Thrombocytopenia,Breakout
Signs and symptoms,Breakout
Zika fever,Breakout
Preventive healthcare,Breakout
Contagious disease,Breakout
Viral hemorrhagic fever,Breakout
Blood test,Breakout
Influenza,Breakout
Patient,Breakout
Symptom,+110%

