Weekly Infectious Disease Bulletin - Year 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Polyclinic attendances - Average Daily numbers,,,
Epidemiology Wk,Start,End,Cholera,Paratyphoid ,Typhoid ,Viral Hepatitis A,Viral Hepatitis E,Poliomyelitis,Plague,Yellow Fever,Dengue Fever,Dengue Haemorrhagic Fever,Malaria,Chikungunya,"Hand, Foot and Mouth Disease",Diphtheria,Measles,Mumps  ,Rubella,SARS,Nipah,Acute Viral hepatitis B,Encephalitis,Legionellosis,Campylobacteriosis,Acute Viral hepatitis C,Melioidosis,Meningococcal Infection,Pertussis,Pneumococcal Disease (invasive),Haemophilus influenzae type b,Salmonellosis(non-enteric fevers),Avian Influenza,Acute Upper Respiratory Tract infections,Acute Conjunctivitis,Acute Diarrhoea,Chickenpox
1,1/1/2012,1/7/2012,0,1,6,1,3,0,0,0,74,0,1,0,326,0,2,11,1,0,0,0,0,0,6,0,0,0,2,3,0,26,0,2932,120,491,18
2,1/8/2012,1/14/2012,0,1,3,2,0,0,0,0,64,2,2,1,346,0,1,10,2,0,0,0,0,0,7,0,1,0,0,3,0,24,0,3189,114,575,19
3,1/15/2012,1/21/2012,0,1,5,3,0,0,0,0,60,1,2,1,463,0,2,15,4,0,0,0,3,0,9,0,1,0,5,3,0,21,0,3185,106,539,16
4,1/22/2012,1/28/2012,0,1,1,3,2,0,0,0,50,2,3,0,372,0,0,8,2,0,0,1,1,1,8,0,1,0,0,2,0,12,0,4001,118,615,24
5,1/29/2012,2/4/2012,0,3,5,2,0,0,0,0,84,1,1,0,444,0,2,12,0,0,0,1,0,0,8,0,0,0,1,5,0,37,0,3356,110,559,18
6,2/5/2012,2/11/2012,0,2,0,0,4,0,0,0,87,0,2,0,683,0,4,12,2,0,0,1,2,1,5,0,1,0,0,4,0,40,0,3358,111,557,20
7,2/12/2012,2/18/2012,0,1,2,0,2,0,0,0,65,0,1,0,810,0,1,12,4,0,0,0,0,0,8,0,0,0,0,3,0,29,0,3033,105,529,19
8,2/19/2012,2/25/2012,0,4,3,0,3,0,0,0,50,1,0,1,989,0,2,18,0,0,0,0,0,0,8,0,1,0,0,3,0,12,0,2953,102,513,21
9,2/26/2012,3/3/2012,0,4,1,2,0,0,0,0,55,0,0,1,1115,0,1,10,2,0,0,2,0,1,6,0,1,0,3,2,0,27,0,2855,105,505,17
10,3/4/2012,3/10/2012,0,2,1,2,3,0,0,0,45,1,4,2,1139,0,0,16,0,0,0,3,1,1,12,1,0,0,0,9,0,28,0,2868,95,488,19
11,3/11/2012,3/17/2012,0,2,1,1,2,0,0,0,64,0,2,0,1011,0,1,8,1,0,0,0,1,1,10,0,1,0,0,2,0,36,0,2615,103,432,15
12,3/18/2012,3/24/2012,0,1,1,0,2,0,0,0,72,1,2,0,1018,0,1,11,0,0,0,1,2,1,5,0,0,0,3,3,0,26,0,2803,112,507,21
13,3/25/2012,3/31/2012,0,0,2,1,2,0,0,0,48,0,4,0,1017,0,0,15,2,0,0,2,0,2,14,0,0,0,1,0,0,27,0,2711,106,477,17
14,4/1/2012,4/7/2012,0,0,1,0,2,0,0,0,52,0,2,0,952,0,0,6,2,0,0,0,0,0,2,0,0,0,1,1,0,27,0,2935,110,486,20
15,4/8/2012,4/14/2012,0,2,2,0,0,0,0,0,81,1,2,1,1167,0,0,13,2,0,0,0,0,2,12,0,1,0,0,1,0,25,0,3098,98,487,18
16,4/15/2012,4/21/2012,0,0,0,4,2,0,0,0,77,0,4,1,1387,0,0,15,2,0,0,0,0,1,6,0,1,0,0,2,0,36,0,3056,114,502,19
17,4/22/2012,4/28/2012,0,2,1,1,1,0,0,0,64,0,2,0,1581,0,1,13,3,0,0,0,1,0,14,0,1,0,0,7,0,27,0,3022,108,478,21
18,4/29/2012,5/5/2012,0,1,3,0,3,0,0,0,86,2,2,0,1462,0,1,13,2,0,0,3,0,0,2,0,1,0,0,3,0,21,0,3090,106,537,26
19,5/6/2012,5/12/2012,0,0,2,1,5,0,0,0,96,1,1,1,1607,0,1,19,2,0,0,0,0,0,12,0,0,0,0,1,0,34,0,3100,101,488,21
20,5/13/2012,5/19/2012,0,3,2,2,4,0,0,0,80,0,2,0,1682,0,0,11,0,0,0,1,0,0,7,0,2,0,1,2,0,28,0,3167,117,481,26
21,5/20/2012,5/26/2012,1,0,3,2,2,0,0,0,80,0,1,0,1458,0,0,10,1,0,0,1,0,0,6,0,0,0,0,3,0,32,0,2982,95,454,21
22,5/27/2012,6/2/2012,0,1,1,3,2,0,0,0,81,0,2,0,1105,0,1,5,1,0,0,3,0,1,7,0,1,0,1,3,0,30,0,2719,91,428,19
23,6/3/2012,6/9/2012,0,1,2,2,0,0,0,0,99,1,3,0,981,0,0,9,1,0,0,2,0,0,7,0,0,0,1,2,0,37,0,2550,93,404,15
24,6/10/2012,6/16/2012,0,0,2,2,3,0,0,0,87,1,3,0,906,0,1,11,1,0,0,0,0,2,5,0,1,0,0,6,0,27,0,2495,91,416,14
25,6/17/2012,6/23/2012,0,4,2,2,0,0,0,0,128,1,5,0,794,0,1,7,0,0,0,0,1,1,11,0,0,0,1,4,0,32,0,2381,84,399,20
26,6/24/2012,6/30/2012,0,3,1,0,2,0,0,0,151,0,7,0,728,0,0,11,2,0,0,1,0,0,4,0,0,0,0,2,0,23,0,2471,101,468,20
27,7/1/2012,7/7/2012,0,3,3,3,4,0,0,0,140,0,4,0,686,0,1,8,1,0,0,1,0,0,9,0,0,0,1,6,0,27,0,2597,95,498,21
28,7/8/2012,7/14/2012,1,1,0,2,5,0,0,0,131,1,6,0,681,0,0,12,5,0,0,1,0,0,10,0,0,0,1,2,1,17,0,2949,103,547,16
29,7/15/2012,7/21/2012,0,1,2,4,4,0,0,0,124,1,9,0,754,0,1,9,0,0,0,1,0,1,4,0,0,0,0,3,0,25,0,3168,98,545,15
30,7/22/2012,7/28/2012,0,1,0,2,0,0,0,0,110,0,2,0,868,0,0,7,1,0,0,0,0,2,11,0,0,0,0,4,0,28,0,3214,97,565,18
31,7/29/2012,8/4/2012,0,1,0,4,1,0,0,0,94,0,5,0,748,0,0,11,0,0,0,0,0,1,7,0,0,0,0,2,0,39,0,2980,101,576,16
32,8/5/2012,8/11/2012,0,0,1,3,0,0,0,0,127,0,4,0,628,0,1,11,1,0,0,2,0,2,1,0,0,0,0,6,0,28,0,2857,108,539,16
33,8/12/2012,8/18/2012,0,1,3,4,5,0,0,0,115,0,4,0,573,0,0,7,2,0,0,1,0,0,10,0,2,0,0,4,0,33,0,2650,95,539,13
34,8/19/2012,8/25/2012,0,2,1,2,1,0,0,0,92,0,4,0,497,0,1,15,0,0,0,1,1,0,7,0,2,0,1,3,0,25,0,2669,109,604,19
35,8/26/2012,9/1/2012,0,2,1,3,0,0,0,0,102,0,1,0,501,0,1,13,3,0,0,2,0,0,11,0,0,0,0,5,0,42,0,2533,94,512,11
36,9/2/2012,9/8/2012,0,1,0,3,1,0,0,0,75,1,1,0,540,0,0,7,0,0,0,1,0,0,9,0,2,0,0,0,0,28,0,2343,91,400,14
37,9/9/2012,9/15/2012,0,0,2,3,7,0,0,0,73,1,1,0,567,0,0,10,0,0,0,1,0,1,13,0,0,0,0,3,0,38,0,2619,103,497,13
38,9/16/2012,9/22/2012,0,0,1,5,2,0,0,0,72,0,5,0,582,0,1,9,0,0,0,4,2,2,15,0,1,0,0,4,0,37,0,2579,92,500,13
39,9/23/2012,9/29/2012,0,1,0,4,2,0,0,0,99,1,4,0,482,0,2,7,1,0,0,1,2,0,10,0,1,0,0,3,0,35,0,2517,92,498,15
40,9/30/2012,10/6/2012,0,0,2,1,2,0,0,0,103,1,3,1,437,0,0,10,0,0,0,0,2,0,14,1,2,0,0,4,0,31,0,2575,88,520,13
41,10/7/2012,10/13/2012,0,0,1,4,2,0,0,0,122,1,3,1,376,0,0,7,0,0,0,2,1,0,12,0,0,0,0,2,0,23,0,2638,87,494,14
42,10/14/2012,10/20/2012,0,1,1,1,1,0,0,0,105,0,5,2,341,0,0,5,1,0,0,3,0,0,10,0,1,0,0,2,0,24,0,2695,88,507,13
43,10/21/2012,10/27/2012,0,0,1,3,1,0,0,0,84,0,5,1,325,0,0,7,2,0,0,1,1,0,12,0,2,0,0,2,0,26,0,2768,90,522,13
44,10/28/2012,11/3/2012,0,0,0,2,1,0,0,0,104,0,1,1,265,0,2,11,2,0,0,1,1,0,13,0,0,0,0,7,0,27,0,2605,100,486,15
45,11/4/2012,11/10/2012,0,0,3,3,3,0,0,0,99,1,1,0,237,0,3,11,2,0,0,0,0,0,10,0,0,0,0,3,0,33,0,2578,89,477,11
