Weekly Infectious Disease Bulletin - Year 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Polyclinic attendances - Average Daily numbers,,,
Epidemiology Wk,Start,End,Cholera,Paratyphoid ,Typhoid ,Viral Hepatitis A,Viral Hepatitis E,Poliomyelitis,Plague,Yellow Fever,Dengue Fever,Dengue Haemorrhagic Fever,Malaria,Chikungunya Fever,"Hand, Foot Mouth Disease",Diphtheria,Measles,Mumps  ,Rubella,SARS,Nipah virus infection,Acute Viral hepatitis B,Encephalitis,Legionellosis,Campylobacter enterosis,Acute Viral hepatitis C,Melioidosis,Meningococcal Infection,Pertussis,Pneumococcal Disease (invasive),Haemophilus influenzae type b,Salmonellosis(non-enteric fevers),Avian Influenza,Acute Upper Respiratory Tract infections,Acute Conjunctivitis,Acute Diarrhoea,Chickenpox
1,12/30/2012,1/5/2013,0,0,1,4,3,0,0,0,132,2,1,0,148,0,0,10,0,0,0,0,1,0,13,0,4,0,1,7,0,26,0,3022,130,541,19
2,1/6/2013,1/12/2013,0,1,3,1,3,0,0,0,204,1,1,1,191,0,1,13,1,0,0,0,2,1,15,0,0,0,0,2,0,26,0,3120,110,596,12
3,1/13/2013,1/19/2013,0,2,4,2,0,0,0,0,219,0,1,1,171,0,0,14,1,0,0,1,1,0,5,0,2,0,1,4,0,26,0,3133,114,569,17
4,1/20/2013,1/26/2013,0,3,4,0,1,0,0,0,264,3,0,1,172,0,0,13,2,0,0,1,1,2,5,0,1,0,2,1,0,32,0,3190,102,543,14
5,1/27/2013,2/2/2013,0,1,1,2,1,0,0,0,292,1,0,0,185,0,0,11,1,0,0,1,1,0,7,0,0,0,0,5,0,30,0,3036,102,502,17
6,2/3/2013,2/9/2013,0,0,2,6,1,0,0,0,322,0,2,2,164,0,0,9,1,0,0,1,1,0,9,0,1,1,0,2,0,28,0,2599,94,475,18
7,2/10/2013,2/16/2013,0,1,2,1,1,0,0,0,246,1,0,0,181,0,0,3,2,0,0,0,1,0,5,0,1,0,0,3,0,20,0,3033,105,573,21
8,2/17/2013,2/23/2013,0,0,1,1,2,0,0,0,294,2,1,0,265,0,0,8,1,0,0,1,2,0,13,0,1,0,0,4,0,26,0,2942,115,510,15
9,2/24/2013,3/2/2013,0,1,2,2,0,0,0,0,247,2,0,2,388,0,0,11,1,0,0,0,1,1,8,0,0,0,0,1,0,32,0,2753,110,469,16
10,3/3/2013,3/9/2013,0,0,1,0,2,0,0,0,272,1,1,14,478,0,0,10,2,0,0,0,1,0,7,0,0,0,0,3,1,28,0,2713,107,475,14
