Weekly Infectious Disease Bulletin - Year 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Polyclinic attendances - Average Daily numbers,,,
Epidemiology Wk,Start,End,Cholera,Paratyphoid ,Typhoid ,Viral Hepatitis A,Viral Hepatitis E,Poliomyelitis,Plague,Yellow Fever,Dengue Fever,Dengue Haemorrhagic Fever,Malaria,Chikungunya Fever,"Hand, Foot Mouth Disease",Diphtheria,Measles,Mumps  ,Rubella,SARS,Nipah virus infection,Acute Viral hepatitis B,Encephalitis,Legionellosis,Campylobacterenterosis,Acute Viral hepatitis C,Melioidosis,Meningococcal Infection,Pertussis,Pneumococcal Disease (invasive),Haemophilus influenzae type b,Salmonellosis(non-enteric fevers),Avian Influenza,Acute Upper Respiratory Tract infections,Acute Conjunctivitis,Acute Diarrhoea,Chickenpox
1,12/29/2013,1/4/2014,0,0,4,1,2,0,0,0,436,1,1,19,345,0,5,7,0,0,0,0,0,0,10,0,1,0,0,3,0,22,0,2766,96,476,19
2,1/5/2014,1/11/2014,0,0,0,4,0,0,0,0,479,,1,29,346,0,2,14,0,0,0,2,2,2,10,0,0,0,1,0,0,38,0,2805,92,490,13
3,1/12/2014,1/18/2014,0,0,2,5,0,0,0,0,401,,2,20,387,0,15,14,0,0,0,0,0,1,5,0,1,0,1,3,0,27,0,3124,100,519,15
4,1/19/2014,1/25/2014,0,0,2,2,1,0,0,0,336,,1,17,366,0,8,10,2,0,0,1,1,0,5,0,0,0,0,3,1,32,0,3288,104,471,15
5,1/26/2014,2/1/2014,0,1,1,2,0,0,0,0,234,,0,13,214,0,3,5,0,0,0,1,0,1,10,0,0,0,0,3,0,25,0,3242,102,479,14
6,2/2/2014,2/8/2014,0,1,0,3,0,0,0,0,273,1,0,9,312,0,7,12,0,0,0,1,2,0,8,0,1,1,0,4,0,26,0,3200,114,490,18
7,2/9/2014,2/15/2014,0,0,1,3,1,0,0,0,369,,0,9,329,0,6,10,0,0,0,0,3,0,5,1,0,0,0,3,1,30,0,2793,100,524,19
8,2/16/2014,2/22/2014,0,0,0,2,1,0,0,0,193,1,0,12,371,0,8,11,2,0,0,0,1,1,9,0,0,0,0,2,0,21,0,2590,104,461,17
9,2/23/2014,3/1/2014,0,0,2,2,1,0,0,0,186,1,0,3,331,0,8,14,0,0,0,3,1,2,12,0,0,0,0,4,1,23,0,2576,100,424,20
10,3/2/2014,3/8/2014,0,1,4,1,1,0,0,0,209,1,0,3,321,0,5,2,0,0,0,0,0,0,3,0,1,0,0,5,0,22,0,2473,99,452,17
11,3/9/2014,3/15/2014,0,2,1,0,1,0,0,0,224,1,1,5,309,0,5,12,1,0,0,1,0,0,11,0,0,1,0,2,0,36,0,2493,98,406,18
12,3/16/2014,3/22/2014,0,1,1,2,1,0,0,0,210,,2,2,247,0,3,7,0,0,0,3,1,0,11,1,0,0,0,0,0,40,0,2003,72,359,12
13,3/23/2014,3/29/2014,0,0,2,1,1,0,0,0,225,,3,1,312,0,2,18,3,0,0,3,0,2,10,2,0,1,0,2,0,42,0,2198,83,452,15
