Weekly Infectious Disease Bulletin - Year 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Polyclinic attendances - Average Daily numbers,,,
Epidemiology Wk,Start,End,Cholera,Paratyphoid ,Typhoid ,Viral Hepatitis A,Viral Hepatitis E,Poliomyelitis,Plague,Yellow Fever,Dengue Fever,Dengue Haemorrhagic Fever,Malaria,Chikungunya Fever,"Hand, Foot Mouth Disease",Diphtheria,Measles,Mumps  ,Rubella,SARS,Nipah virus infection,Acute Viral hepatitis B,Encephalitis,Legionellosis,Campylobacterenterosis,Acute Viral hepatitis C,Melioidosis,Meningococcal Infection,Pertussis,Pneumococcal Disease (invasive),Haemophilus influenzae type b,Salmonellosis(non-enteric fevers),Avian Influenza,Zika Virus Infection,Acute Upper Respiratory Tract infections,Acute Conjunctivitis,Acute Diarrhoea,Chickenpox
1,1/3/2016,1/9/2016,1,1,0,0,1,0,0,0,547,0,1,1,417,0,0,8,1,0,0,0,1,0,14,1,0,0,1,3,0,57,0,0,2604,94,492,15
2,1/10/2016,1/16/2016,0,0,0,3,1,0,0,0,620,0,0,1,505,0,0,7,0,0,0,1,1,0,4,0,2,0,2,2,0,52,0,0,2775,86,513,15
3,1/17/2016,1/23/2016,0,1,2,3,2,0,0,0,636,1,0,0,588,0,0,11,0,0,0,0,1,0,9,0,1,1,2,1,0,49,0,0,2946,83,521,16
4,1/24/2016,1/30/2016,0,0,4,0,0,0,0,0,623,1,0,1,587,0,0,10,0,0,0,2,0,0,6,0,2,0,1,3,0,42,0,0,3111,62,529,14
5,1/31/2016,2/6/2016,0,0,1,0,2,0,0,0,523,2,0,0,669,0,1,9,0,0,0,1,1,0,6,0,0,0,1,2,0,54,0,0,3125,75,519,11
6,2/7/2016,2/13/2016,0,0,0,1,0,0,0,0,419,0,0,0,587,0,0,9,0,0,0,1,0,0,5,0,2,0,0,2,0,35,0,0,3740,92,624,17
7,2/14/2016,2/20/2016,0,0,0,2,3,0,0,0,589,1,0,2,699,0,2,8,0,0,0,0,0,1,13,0,0,0,1,5,0,49,0,0,3174,87,538,17
8,2/21/2016,2/27/2016,0,0,4,0,0,0,0,0,507,4,0,0,756,0,1,10,0,0,0,0,1,0,14,2,0,0,1,4,0,52,0,0,3148,82,508,13
9,2/28/2016,3/5/2016,0,1,1,1,0,0,0,0,411,0,1,0,831,0,1,4,0,0,0,1,0,0,8,0,1,0,3,2,0,39,0,0,3001,86,456,15
10,3/6/2016,3/12/2016,0,2,2,2,2,0,0,0,395,1,0,0,979,0,2,6,0,0,0,2,1,1,10,1,2,0,2,4,0,26,0,0,2702,81,490,15
11,3/13/2016,3/19/2016,0,1,0,1,1,0,0,0,372,1,1,0,905,0,2,9,0,0,0,4,1,0,6,0,0,0,1,3,0,41,0,0,2382,73,419,14
12,3/20/2016,3/26/2016,0,1,0,0,2,0,0,0,304,2,1,0,860,0,2,7,0,0,0,2,0,0,2,0,0,0,1,1,0,25,0,0,2596,91,472,18
13,3/27/2016,4/2/2016,0,3,0,1,0,0,0,0,376,1,0,0,937,0,4,7,1,0,0,1,0,0,7,0,2,0,1,0,0,39,0,0,2530,78,449,14
14,4/3/2016,4/9/2016,0,0,0,2,1,0,0,0,289,2,0,2,807,0,1,7,1,0,0,0,0,0,12,0,0,0,3,2,0,29,0,0,2417,71,465,14
15,4/10/2016,4/16/2016,0,0,0,0,3,0,0,0,224,0,1,0,987,0,2,7,0,0,0,1,0,1,13,0,1,0,1,2,0,42,0,0,2383,73,475,12
16,4/17/2016,4/23/2016,0,0,1,1,1,0,0,0,229,0,1,0,1051,0,6,5,0,0,0,1,0,0,13,1,0,0,0,2,0,48,0,0,2487,71,471,14
17,4/24/2016,4/30/2016,0,0,2,1,3,0,0,0,242,0,0,0,1020,0,6,12,0,0,0,1,1,0,12,0,1,0,1,6,0,47,0,0,2520,74,494,14
18,5/1/2016,5/7/2016,0,1,0,0,3,0,0,0,180,0,0,0,1077,0,3,12,0,0,0,1,2,1,8,1,0,0,2,6,0,38,0,0,2715,73,516,16
19,5/8/2016,5/14/2016,0,1,1,0,3,0,0,0,216,0,0,0,1316,0,11,10,0,0,0,1,0,0,5,0,0,0,1,2,0,48,0,1,2648,73,504,15
20,5/15/2016,5/21/2016,0,1,1,1,9,0,0,0,212,0,1,1,1314,0,6,9,0,0,0,0,0,0,19,1,3,0,2,1,0,42,0,0,2853,72,547,14
21,5/22/2016,5/28/2016,0,0,2,0,2,0,0,0,198,0,0,0,1344,0,7,14,0,0,0,2,0,0,5,1,0,0,0,3,0,57,0,0,2775,70,492,15
22,5/29/2016,6/4/2016,0,0,1,5,0,0,0,0,215,1,0,1,1234,0,5,17,0,0,0,2,0,0,12,0,1,0,1,3,0,45,0,0,2634,70,453,9
23,6/5/2016,6/11/2016,0,1,1,1,4,0,0,0,157,1,0,0,1117,0,3,15,1,0,0,0,0,0,9,0,2,0,3,3,0,52,0,0,2521,71,418,10
24,6/12/2016,6/18/2016,0,0,2,1,6,0,0,0,192,1,2,0,1066,0,4,12,1,0,0,1,1,0,5,3,2,1,9,3,0,28,0,0,2564,66,445,12
25,6/19/2016,6/25/2016,0,0,0,0,4,0,0,0,215,0,0,1,1034,0,1,13,0,0,0,0,2,0,8,0,2,0,3,6,0,43,0,0,2819,77,445,11
26,6/26/2016,7/2/2016,0,0,1,0,1,0,0,0,234,0,1,1,972,0,0,12,0,0,0,1,5,0,11,0,0,0,0,4,0,53,0,0,3021,83,521,15
27,7/3/2016,7/9/2016,0,0,0,0,0,0,0,0,246,1,0,0,798,0,0,8,1,0,0,2,1,0,8,0,2,0,1,0,0,48,0,0,2989,84,634,19
28,7/10/2016,7/16/2016,0,0,0,2,2,0,0,0,223,0,1,0,871,0,1,11,2,0,0,1,1,0,3,0,0,1,1,3,0,80,0,0,2940,78,593,13
29,7/17/2016,7/23/2016,0,1,2,3,4,0,0,0,266,0,0,0,884,0,0,12,0,0,0,2,0,1,14,0,1,0,3,2,0,58,0,0,3427,72,587,11
30,7/24/2016,7/30/2016,0,0,1,5,3,0,0,0,221,1,0,0,908,0,0,15,1,0,0,2,1,0,3,0,3,0,3,0,0,35,0,0,3566,74,571,14
31,7/31/2016,8/6/2016,0,0,0,1,1,0,0,0,210,0,1,0,972,0,2,8,0,0,0,3,2,1,1,1,3,0,3,7,0,41,0,0,3499,83,551,12
32,8/7/2016,8/13/2016,0,0,1,1,3,0,0,0,197,1,1,1,917,0,1,8,0,0,0,0,0,0,5,1,1,0,0,1,0,46,0,0,3233,81,592,17
33,8/14/2016,8/20/2016,0,0,2,2,5,0,0,0,221,1,3,0,914,0,1,7,0,0,0,1,1,0,6,1,1,0,2,3,2,48,0,0,2834,77,550,13
