Category: All categories

Week,Dengue fever: (Singapore),Insect repellent: (Singapore)
2020-01-05,0,0
2020-01-12,0,0
2020-01-19,0,0
2020-01-26,25,0
2020-02-02,0,0
2020-02-09,0,0
2020-02-16,0,0
2020-02-23,0,37
2020-03-01,0,0
2020-03-08,0,38
2020-03-15,0,0
2020-03-22,0,0
2020-03-29,0,0
2020-04-05,0,0
2020-04-12,20,0
2020-04-19,21,31
2020-04-26,33,0
2020-05-03,0,0
2020-05-10,0,0
2020-05-17,0,26
2020-05-24,22,0
2020-05-31,0,0
2020-06-07,31,0
2020-06-14,94,30
2020-06-21,30,0
2020-06-28,58,0
2020-07-05,61,66
2020-07-12,0,0
2020-07-19,31,0
2020-07-26,0,0
2020-08-02,38,0
2020-08-09,0,55
2020-08-16,0,0
2020-08-23,33,0
2020-08-30,52,0
2020-09-06,51,0
2020-09-13,0,0
2020-09-20,0,0
2020-09-27,0,0
2020-10-04,0,0
2020-10-11,0,0
2020-10-18,0,0
2020-10-25,0,0
2020-11-01,0,82
2020-11-08,100,0
2020-11-15,44,0
2020-11-22,0,0
2020-11-29,0,0
2020-12-06,0,63
2020-12-13,81,0
2020-12-20,0,0
2020-12-27,99,0
