,Dengue fever: (Singapore),Insect repellent: (Singapore),end
0,39,0,2012-01-08
1,0,0,2012-01-15
2,0,0,2012-01-22
3,0,0,2012-01-29
4,0,79,2012-02-05
5,33,0,2012-02-12
6,0,0,2012-02-19
7,0,0,2012-02-26
8,0,0,2012-03-04
9,0,0,2012-03-11
10,0,72,2012-03-18
11,0,43,2012-03-25
12,0,0,2012-04-01
13,0,75,2012-04-08
14,0,0,2012-04-15
15,0,0,2012-04-22
16,100,40,2012-04-29
17,0,0,2012-05-06
18,0,0,2012-05-13
19,0,0,2012-05-20
20,0,36,2012-05-27
21,0,0,2012-06-03
22,0,0,2012-06-10
23,47,0,2012-06-17
24,0,0,2012-06-24
25,0,0,2012-07-01
26,0,0,2012-07-08
27,0,67,2012-07-15
28,0,0,2012-07-22
29,0,0,2012-07-29
30,0,35,2012-08-05
31,40,0,2012-08-12
32,0,0,2012-08-19
33,0,0,2012-08-26
34,0,0,2012-09-02
35,0,0,2012-09-09
36,0,0,2012-09-16
37,0,0,2012-09-23
38,0,0,2012-09-30
39,0,0,2012-10-07
40,0,0,2012-10-14
41,0,0,2012-10-21
42,0,0,2012-10-28
43,0,0,2012-11-04
44,0,0,2012-11-11
45,0,0,2012-11-18
46,0,0,2012-11-25
47,24,27,2012-12-02
48,0,0,2012-12-09
49,0,0,2012-12-16
50,0,0,2012-12-23
51,0,0,2012-12-30
52,75,0,2013-01-06
53,16,0,2013-01-13
54,0,0,2013-01-20
55,0,0,2013-01-27
56,0,0,2013-02-03
57,0,0,2013-02-10
58,0,0,2013-02-17
59,0,0,2013-02-24
60,29,0,2013-03-03
61,0,22,2013-03-10
62,0,36,2013-03-17
63,29,0,2013-03-24
64,0,0,2013-03-31
65,22,0,2013-04-07
66,57,0,2013-04-14
67,0,0,2013-04-21
68,22,34,2013-04-28
69,0,0,2013-05-05
70,0,0,2013-05-12
71,17,0,2013-05-19
72,64,0,2013-05-26
73,0,0,2013-06-02
74,52,0,2013-06-09
75,0,0,2013-06-16
76,56,0,2013-06-23
77,24,0,2013-06-30
78,0,100,2013-07-07
79,0,0,2013-07-14
80,0,39,2013-07-21
81,0,0,2013-07-28
82,0,0,2013-08-04
83,62,0,2013-08-11
84,0,0,2013-08-18
85,0,56,2013-08-25
86,0,0,2013-09-01
87,0,0,2013-09-08
88,0,0,2013-09-15
89,0,0,2013-09-22
90,0,0,2013-09-29
91,36,0,2013-10-06
92,0,0,2013-10-13
93,0,49,2013-10-20
94,0,87,2013-10-27
95,0,0,2013-11-03
96,0,50,2013-11-10
97,0,0,2013-11-17
98,0,26,2013-11-24
99,0,0,2013-12-01
100,0,0,2013-12-08
101,0,0,2013-12-15
102,0,0,2013-12-22
103,38,0,2013-12-29
104,37,27,2014-01-05
105,0,31,2014-01-12
106,0,24,2014-01-19
107,0,100,2014-01-26
108,0,0,2014-02-02
109,0,0,2014-02-09
110,0,0,2014-02-16
111,0,36,2014-02-23
112,39,0,2014-03-02
113,0,0,2014-03-09
114,0,0,2014-03-16
115,0,0,2014-03-23
116,11,0,2014-03-30
117,0,0,2014-04-06
118,19,0,2014-04-13
119,0,23,2014-04-20
120,0,0,2014-04-27
121,0,0,2014-05-04
122,0,0,2014-05-11
123,0,0,2014-05-18
124,0,15,2014-05-25
125,46,20,2014-06-01
126,0,0,2014-06-08
127,16,0,2014-06-15
128,0,0,2014-06-22
129,0,0,2014-06-29
130,15,0,2014-07-06
131,18,0,2014-07-13
132,0,0,2014-07-20
133,0,0,2014-07-27
