Category: All categories,,
,,
Week,dengue fever: (Singapore),insect repellent: (Singapore)
1/8/2012,8,4
1/15/2012,10,0
1/22/2012,11,2
1/29/2012,8,0
2/5/2012,9,0
2/12/2012,6,3
2/19/2012,10,0
2/26/2012,6,0
3/4/2012,10,0
3/11/2012,5,2
3/18/2012,17,0
3/25/2012,12,0
4/1/2012,12,0
4/8/2012,9,4
4/15/2012,4,0
4/22/2012,11,2
4/29/2012,10,0
5/6/2012,11,0
5/13/2012,8,0
5/20/2012,8,0
5/27/2012,11,3
6/3/2012,11,7
6/10/2012,7,2
6/17/2012,7,0
6/24/2012,9,0
7/1/2012,13,0
7/8/2012,17,2
7/15/2012,14,2
7/22/2012,11,0
7/29/2012,11,2
8/5/2012,14,2
8/12/2012,9,0
8/19/2012,6,2
8/26/2012,7,0
9/2/2012,8,0
9/9/2012,5,0
9/16/2012,9,0
9/23/2012,6,0
9/30/2012,8,0
10/7/2012,8,0
10/14/2012,9,0
10/21/2012,13,0
10/28/2012,13,1
11/4/2012,11,2
11/11/2012,9,0
11/18/2012,9,1
11/25/2012,15,0
12/2/2012,8,2
12/9/2012,8,3
12/16/2012,11,2
12/23/2012,7,0
12/30/2012,6,1
