end,dengue fever: (Singapore),insect repellent: (Singapore),end
2012-01-08,8,4,2012-01-08
2012-01-15,10,0,2012-01-15
2012-01-22,11,2,2012-01-22
2012-01-29,8,0,2012-01-29
2012-02-05,9,0,2012-02-05
2012-02-12,6,3,2012-02-12
2012-02-19,10,0,2012-02-19
2012-02-26,6,0,2012-02-26
2012-03-04,10,0,2012-03-04
2012-03-11,5,2,2012-03-11
2012-03-18,17,0,2012-03-18
2012-03-25,12,0,2012-03-25
2012-04-01,12,0,2012-04-01
2012-04-08,9,4,2012-04-08
2012-04-15,4,0,2012-04-15
2012-04-22,11,2,2012-04-22
2012-04-29,10,0,2012-04-29
2012-05-06,11,0,2012-05-06
2012-05-13,8,0,2012-05-13
2012-05-20,8,0,2012-05-20
2012-05-27,11,3,2012-05-27
2012-06-03,11,7,2012-06-03
2012-06-10,7,2,2012-06-10
2012-06-17,7,0,2012-06-17
2012-06-24,9,0,2012-06-24
2012-07-01,13,0,2012-07-01
2012-07-08,17,2,2012-07-08
2012-07-15,14,2,2012-07-15
2012-07-22,11,0,2012-07-22
2012-07-29,11,2,2012-07-29
2012-08-05,14,2,2012-08-05
2012-08-12,9,0,2012-08-12
2012-08-19,6,2,2012-08-19
2012-08-26,7,0,2012-08-26
2012-09-02,8,0,2012-09-02
2012-09-09,5,0,2012-09-09
2012-09-16,9,0,2012-09-16
2012-09-23,6,0,2012-09-23
2012-09-30,8,0,2012-09-30
2012-10-07,8,0,2012-10-07
2012-10-14,9,0,2012-10-14
2012-10-21,13,0,2012-10-21
2012-10-28,13,1,2012-10-28
2012-11-04,11,2,2012-11-04
2012-11-11,9,0,2012-11-11
2012-11-18,9,1,2012-11-18
2012-11-25,15,0,2012-11-25
2012-12-02,8,2,2012-12-02
2012-12-09,8,3,2012-12-09
2012-12-16,11,2,2012-12-16
2012-12-23,7,0,2012-12-23
2012-12-30,6,1,2012-12-30
2013-01-06,13,0,2013-01-06
2013-01-13,16,0,2013-01-13
2013-01-20,12,2,2013-01-20
2013-01-27,14,2,2013-01-27
2013-02-03,19,2,2013-02-03
2013-02-10,22,3,2013-02-10
2013-02-17,25,2,2013-02-17
2013-02-24,19,2,2013-02-24
2013-03-03,18,3,2013-03-03
2013-03-10,13,2,2013-03-10
2013-03-17,8,2,2013-03-17
2013-03-24,20,4,2013-03-24
2013-03-31,18,3,2013-03-31
2013-04-07,41,2,2013-04-07
2013-04-14,31,7,2013-04-14
2013-04-21,28,4,2013-04-21
2013-04-28,43,3,2013-04-28
2013-05-05,33,1,2013-05-05
2013-05-12,28,2,2013-05-12
2013-05-19,26,3,2013-05-19
2013-05-26,62,2,2013-05-26
2013-06-02,53,3,2013-06-02
2013-06-09,100,7,2013-06-09
2013-06-16,61,6,2013-06-16
2013-06-23,37,1,2013-06-23
2013-06-30,34,4,2013-06-30
2013-07-07,35,0,2013-07-07
2013-07-14,29,2,2013-07-14
2013-07-21,22,4,2013-07-21
2013-07-28,21,1,2013-07-28
2013-08-04,18,0,2013-08-04
2013-08-11,21,2,2013-08-11
2013-08-18,21,1,2013-08-18
2013-08-25,20,0,2013-08-25
2013-09-01,14,1,2013-09-01
2013-09-08,18,0,2013-09-08
2013-09-15,21,2,2013-09-15
2013-09-22,16,0,2013-09-22
2013-09-29,19,3,2013-09-29
2013-10-06,14,2,2013-10-06
2013-10-13,22,4,2013-10-13
2013-10-20,20,0,2013-10-20
2013-10-27,24,1,2013-10-27
2013-11-03,22,0,2013-11-03
2013-11-10,19,0,2013-11-10
2013-11-17,19,6,2013-11-17
2013-11-24,20,2,2013-11-24
2013-12-01,14,0,2013-12-01
2013-12-08,12,1,2013-12-08
2013-12-15,15,2,2013-12-15
2013-12-22,10,3,2013-12-22
2013-12-29,17,2,2013-12-29
2014-01-05,54,11,2014-01-05
2014-01-12,49,5,2014-01-12
2014-01-19,49,10,2014-01-19
2014-01-26,34,0,2014-01-26
2014-02-02,37,0,2014-02-02
2014-02-09,43,8,2014-02-09
2014-02-16,33,22,2014-02-16
2014-02-23,58,9,2014-02-23
2014-03-02,43,0,2014-03-02
2014-03-09,29,12,2014-03-09
2014-03-16,34,7,2014-03-16
2014-03-23,41,8,2014-03-23
2014-03-30,41,4,2014-03-30
2014-04-06,32,0,2014-04-06
2014-04-13,34,13,2014-04-13
2014-04-20,41,6,2014-04-20
2014-04-27,42,0,2014-04-27
2014-05-04,33,5,2014-05-04
2014-05-11,24,0,2014-05-11
2014-05-18,34,0,2014-05-18
2014-05-25,52,6,2014-05-25
2014-06-01,38,3,2014-06-01
2014-06-08,39,6,2014-06-08
