,end,cholera,paratyphoid ,typhoid ,acute viral hepatitis a,acute viral hepatitis e,poliomyelitis,plague,yellow fever,dengue fever,dengue haemorrhagic fever,malaria,chikungunya fever,hfmd,diphtheria,measles,mumps  ,rubella,sars,nipah virus infection,acute viral hepatitis b,encephalitis,legionellosis,campylobacteriosis,acute viral hepatitis c,melioidosis,meningococcal infection,pertussis,pneumococcal disease (invasive),haemophilus influenzae type b,salmonellosis(non-enteric fevers),avian influenza,acute upper respiratory tract infections,acute conjunctivitis,acute diarrhoea,chickenpox,zika virus infection,leptospirosis,ebola virus disease,japanese encephalitis,tetanus,botulism,murine typhus,monkeypox,middle east respiratory syndrome
0,2012-01-07,0.0,1.0,6.0,1.0,3.0,0.0,0.0,0.0,74.0,0.0,1.0,0.0,326.0,0.0,2.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,3.0,0.0,26.0,0.0,2932.0,120.0,491.0,18.0,,,,,,,,,
1,2012-01-14,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,64.0,2.0,2.0,1.0,346.0,0.0,1.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,3.0,0.0,24.0,0.0,3189.0,114.0,575.0,19.0,,,,,,,,,
2,2012-01-21,0.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,60.0,1.0,2.0,1.0,463.0,0.0,2.0,15.0,4.0,0.0,0.0,0.0,3.0,0.0,9.0,0.0,1.0,0.0,5.0,3.0,0.0,21.0,0.0,3185.0,106.0,539.0,16.0,,,,,,,,,
3,2012-01-28,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,50.0,2.0,3.0,0.0,372.0,0.0,0.0,8.0,2.0,0.0,0.0,1.0,1.0,1.0,8.0,0.0,1.0,0.0,0.0,2.0,0.0,12.0,0.0,4001.0,118.0,615.0,24.0,,,,,,,,,
4,2012-02-04,0.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,84.0,1.0,1.0,0.0,444.0,0.0,2.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,5.0,0.0,37.0,0.0,3356.0,110.0,559.0,18.0,,,,,,,,,
5,2012-02-11,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,87.0,0.0,2.0,0.0,683.0,0.0,4.0,12.0,2.0,0.0,0.0,1.0,2.0,1.0,5.0,0.0,1.0,0.0,0.0,4.0,0.0,40.0,0.0,3358.0,111.0,557.0,20.0,,,,,,,,,
6,2012-02-18,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,65.0,0.0,1.0,0.0,810.0,0.0,1.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,3.0,0.0,29.0,0.0,3033.0,105.0,529.0,19.0,,,,,,,,,
7,2012-02-25,0.0,4.0,3.0,0.0,3.0,0.0,0.0,0.0,50.0,1.0,0.0,1.0,989.0,0.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,3.0,0.0,12.0,0.0,2953.0,102.0,513.0,21.0,,,,,,,,,
8,2012-03-03,0.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,1.0,1115.0,0.0,1.0,10.0,2.0,0.0,0.0,2.0,0.0,1.0,6.0,0.0,1.0,0.0,3.0,2.0,0.0,27.0,0.0,2855.0,105.0,505.0,17.0,,,,,,,,,
9,2012-03-10,0.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0,45.0,1.0,4.0,2.0,1139.0,0.0,0.0,16.0,0.0,0.0,0.0,3.0,1.0,1.0,12.0,1.0,0.0,0.0,0.0,9.0,0.0,28.0,0.0,2868.0,95.0,488.0,19.0,,,,,,,,,
