,end,dengue fever
0,2012-01-07,74.0
1,2012-01-14,64.0
2,2012-01-21,60.0
3,2012-01-28,50.0
4,2012-02-04,84.0
5,2012-02-11,87.0
6,2012-02-18,65.0
7,2012-02-25,50.0
8,2012-03-03,55.0
9,2012-03-10,45.0
10,2012-03-17,64.0
11,2012-03-24,72.0
12,2012-03-31,48.0
13,2012-04-07,52.0
14,2012-04-14,81.0
15,2012-04-21,77.0
16,2012-04-28,64.0
17,2012-05-05,86.0
18,2012-05-12,96.0
19,2012-05-19,80.0
20,2012-05-26,80.0
21,2012-06-02,81.0
22,2012-06-09,99.0
23,2012-06-16,87.0
24,2012-06-23,128.0
25,2012-06-30,151.0
26,2012-07-07,140.0
27,2012-07-14,131.0
28,2012-07-21,124.0
29,2012-07-28,110.0
30,2012-08-04,94.0
31,2012-08-11,127.0
32,2012-08-18,115.0
33,2012-08-25,92.0
34,2012-09-01,102.0
35,2012-09-08,75.0
36,2012-09-15,73.0
37,2012-09-22,72.0
38,2012-09-29,99.0
39,2012-10-06,103.0
40,2012-10-13,122.0
41,2012-10-20,105.0
42,2012-10-27,84.0
43,2012-11-03,104.0
44,2012-11-10,99.0
45,2012-11-17,87.0
46,2012-11-24,99.0
47,2012-12-01,80.0
48,2012-12-08,78.0
49,2012-12-15,104.0
50,2012-12-22,92.0
51,2012-12-29,111.0
52,2013-01-05,132.0
53,2013-01-12,204.0
54,2013-01-19,219.0
55,2013-01-26,264.0
56,2013-02-02,292.0
57,2013-02-09,322.0
58,2013-02-16,246.0
59,2013-02-23,294.0
60,2013-03-02,247.0
61,2013-03-09,272.0
62,2013-03-16,307.0
63,2013-03-23,305.0
64,2013-03-30,314.0
65,2013-04-06,402.0
66,2013-04-13,491.0
67,2013-04-20,505.0
68,2013-04-27,536.0
69,2013-05-04,547.0
70,2013-05-11,556.0
71,2013-05-18,611.0
72,2013-05-25,637.0
73,2013-06-01,742.0
74,2013-06-08,813.0
75,2013-06-15,805.0
76,2013-06-22,838.0
77,2013-06-29,802.0
78,2013-07-06,676.0
79,2013-07-13,540.0
80,2013-07-20,389.0
81,2013-07-27,305.0
82,2013-08-03,288.0
83,2013-08-10,255.0
84,2013-08-17,378.0
85,2013-08-24,338.0
86,2013-08-31,382.0
87,2013-09-07,449.0
88,2013-09-14,337.0
89,2013-09-21,370.0
90,2013-09-28,402.0
91,2013-10-05,439.0
92,2013-10-12,435.0
93,2013-10-19,371.0
94,2013-10-26,495.0
95,2013-11-02,457.0
96,2013-11-09,401.0
97,2013-11-16,442.0
98,2013-11-23,365.0
99,2013-11-30,372.0
100,2013-12-07,347.0
101,2013-12-14,380.0
102,2013-12-21,371.0
103,2013-12-28,414.0
104,2014-01-04,436.0
105,2014-01-11,479.0
106,2014-01-18,401.0
107,2014-01-25,336.0
108,2014-02-01,234.0
109,2014-02-08,273.0
110,2014-02-15,369.0
111,2014-02-22,193.0
112,2014-03-01,186.0
113,2014-03-08,209.0
114,2014-03-15,224.0
115,2014-03-22,210.0
116,2014-03-29,225.0
117,2014-04-05,240.0
118,2014-04-12,244.0
119,2014-04-19,235.0
120,2014-04-26,282.0
121,2014-05-03,251.0
122,2014-05-10,261.0
123,2014-05-17,291.0
124,2014-05-24,427.0
125,2014-05-31,456.0
126,2014-06-07,458.0
127,2014-06-14,506.0
128,2014-06-21,550.0
129,2014-06-28,671.0
130,2014-07-05,888.0
131,2014-07-12,818.0
132,2014-07-19,744.0
133,2014-07-26,633.0
134,2014-08-02,484.0
135,2014-08-09,545.0
136,2014-08-16,438.0
137,2014-08-23,418.0
138,2014-08-30,367.0
139,2014-09-06,339.0
140,2014-09-13,362.0
141,2014-09-20,396.0
142,2014-09-27,344.0
143,2014-10-04,339.0
144,2014-10-11,278.0
145,2014-10-18,297.0
146,2014-10-25,213.0
147,2014-11-01,186.0
148,2014-11-08,168.0
149,2014-11-15,158.0
150,2014-11-22,149.0
151,2014-11-29,162.0
152,2014-12-06,212.0
153,2014-12-13,177.0
154,2014-12-20,198.0
155,2014-12-27,188.0
156,2015-01-03,158.0
157,2015-01-10,256.0
158,2015-01-17,228.0
159,2015-01-24,237.0
160,2015-01-31,259.0
161,2015-02-07,212.0
162,2015-02-14,173.0
163,2015-02-21,99.0
164,2015-02-28,172.0
165,2015-03-07,189.0
166,2015-03-14,110.0
167,2015-03-21,91.0
168,2015-03-28,129.0
